PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20260303,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,04,상품,154000,,,20,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,05,중품,134000,,,20,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,04,상품,161000,,,20,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,05,중품,138000,,,20,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,04,상품,7750,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,05,중품,6750,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,13,S과,21000,,,5,kg,10,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,14,M과,18000,,,5,kg,10,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,415,감귤,02,시설,02,도매,13,S과,17800,,,3,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,415,감귤,02,시설,02,도매,14,M과,15900,,,3,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,03,한지,02,도매,05,중품,70000,1,kg,10,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,04,상품,5400,,,1,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,05,중품,4460,,,1,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,24,L과,11800,,,2,kg,2,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,25,M과,10000,,,2,kg,2,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,04,상품,15600,1,kg,15,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,05,중품,14500,1,kg,15,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,04,상품,2320,,,1,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,05,중품,2000,,,1,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,04,상품,7750,,,1,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,05,중품,6000,,,1,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,04,상품,60000,,,10,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,05,중품,47600,,,10,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,247,생강,01,수입,02,도매,05,중품,81300,,,10,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,04,상품,65000,,,7.5,kg,100,g,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,05,중품,48300,,,7.5,kg,100,g,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,04,상품,20200,,,2,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,05,중품,11700,,,2,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,04,상품,65700,,,10,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,05,중품,46000,,,10,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,04,상품,39000,,,5,kg,200,g,200,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,05,중품,29000,,,5,kg,200,g,200,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,257,멜론,00,멜론,02,도매,04,상품,53000,,,8,kg,1,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,22,난지(대서),02,도매,05,중품,45000,,,10,kg,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,04,상품,18700,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,05,중품,7250,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,04,상품,12200,,,5,kg,150,g,150,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,05,중품,9500,,,5,kg,150,g,150,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,04,상품,9500,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,05,중품,7500,,,2,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,152,감자,04,수미(시설),02,도매,04,상품,73300,,,20,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,152,감자,04,수미(시설),02,도매,05,중품,63300,,,20,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,411,사과,05,후지,02,도매,04,상품,103000,15,kg,10,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,04,상품,66500,,,10,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,05,중품,37000,,,10,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,411,사과,05,후지,02,도매,05,중품,82600,15,kg,10,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,04,상품,81000,15,kg,15,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,05,중품,57600,15,kg,15,kg,10,개,10,개,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,04,상품,35300,20,kg,10,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,05,중품,28000,20,kg,10,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,04,상품,22300,,,8,kg,1,포기,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,05,중품,16600,,,8,kg,1,포기,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,04,상품,31600,,,8,kg,1,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,05,중품,22300,,,8,kg,1,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,418,바나나,02,수입,02,도매,04,상품,32000,,,13,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,419,참다래,01,국산,02,도매,04,상품,36000,,,10,kg,10,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,419,참다래,01,국산,02,도매,05,중품,33000,,,10,kg,10,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,420,파인애플,02,수입,02,도매,04,상품,27500,,,12,kg,1,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,420,파인애플,02,수입,02,도매,05,중품,26000,,,12,kg,1,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,421,오렌지,03,네이블 미국,02,도매,04,상품,77000,,,18,kg,10,개,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,152,감자,01,수미(노지),02,도매,04,상품,55600,,,20,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,611,고등어,01,생선,02,도매,05,중품,66600,1,kg,10,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,611,고등어,02,냉동,02,도매,05,중품,49000,1,kg,10,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,613,갈치,01,생선,02,도매,21,中,28300,1,kg,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,613,갈치,02,냉동,02,도매,21,中,13200,1,kg,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,615,명태,02,냉동,02,도매,21,中,40500,,,20,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,619,물오징어,01,생선,02,도매,05,중품,17700,1,kg,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,152,감자,01,수미(노지),02,도매,05,중품,43600,,,20,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,638,마른멸치,00,마른멸치,02,도매,28,중멸,17000,3,kg,1.5,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,639,북어,01,황태,02,도매,05,중품,51600,,,10,마리,,,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,640,마른오징어,00,마른오징어,02,도매,05,중품,94300,,,20,마리,10,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,641,김,00,마른김,02,도매,05,중품,11000,,,1,속,10,장,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,642,마른미역,00,마른미역,02,도매,04,상품,13300,,,1,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,644,굴,00,굴,02,도매,04,상품,11000,1,kg,1,kg,1,kg,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,616,삼치,02,냉동,02,도매,21,中,6000,,,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,613,갈치,01,생선,02,도매,20,大,31300,1,kg,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,613,갈치,02,냉동,02,도매,20,大,22000,1,kg,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,615,명태,02,냉동,02,도매,20,大,42000,,,20,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,638,마른멸치,00,마른멸치,02,도매,27,대멸,16000,3,kg,1.5,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,638,마른멸치,00,마른멸치,02,도매,29,세멸,21300,3,kg,1.5,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,660,건다시마,01,완도산,02,도매,04,상품,10300,,,1,kg,100,g,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,659,가리비,01,해만가리비(홍가리비),02,도매,04,상품,5000,,,1,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,2660,,,1,kg,1,kg,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,619,물오징어,04,연근해(냉동),02,도매,05,중품,12000,,,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,619,물오징어,05,원양(냉동),02,도매,05,중품,10000,,,1,kg,1,마리,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,211,배추,06,월동,02,도매,04,상품,12600,1,kg,10,kg(그물망 3포기),1,포기,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,211,배추,06,월동,02,도매,05,중품,10400,1,kg,10,kg(그물망 3포기),1,포기,,,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,212,양배추,00,양배추,02,도매,04,상품,12600,,,8,kg,1,포기,1,포기,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,212,양배추,00,양배추,02,도매,05,중품,8660,,,8,kg,1,포기,1,포기,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,213,시금치,00,시금치,02,도매,04,상품,12000,,,4,kg,100,g,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,213,시금치,00,시금치,02,도매,05,중품,8660,,,4,kg,100,g,1,kg,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,214,상추,01,적,02,도매,04,상품,13300,,,4,kg,100,g,100,g,N,20260318025002
20260303,2,0110211,가락도매,11,서울,1101,서울,214,상추,01,적,02,도매,05,중품,9330,,,4,kg,100,g,100,g,N,20260318025002
