PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20260504,23,0250114,인동,25,대전,2501,대전,143,녹두,01,수입,02,도매,05,중품,226000,,,40,kg,,,,,N,20260519095102
20260504,17,0240121,양동,24,광주,2401,광주,143,녹두,01,수입,02,도매,05,중품,215000,,,40,kg,,,,,N,20260519095102
20260504,6,0210022,부전,21,부산,2100,부산,143,녹두,01,수입,02,도매,05,중품,196000,,,40,kg,,,,,N,20260519095102
20260504,4,0110253,양곡도매,11,서울,1101,서울,143,녹두,01,수입,02,도매,05,중품,170000,,,40,kg,,,,,N,20260519095102
20260504,771,0110411,B`-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,2720,,,,,100,g,,,N,20260519095102
20260504,770,0310407,B-유통,31,경기,3112,성남,318,호두,00,수입,01,소매,05,중품,2720,,,,,100,g,,,Y,20260519095102
20260504,769,0310406,C-유통,31,경기,3145,용인,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,768,0110410,L-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,1340,,,,,100,g,,,Y,20260519095102
20260504,767,0220404,E-유통,22,대구,2200,대구,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,766,0210404,H-유통,21,부산,2100,부산,318,호두,00,수입,01,소매,05,중품,2120,,,,,100,g,,,N,20260519095102
20260504,765,,,,,,,318,호두,00,수입,01,소매,05,중품,1660,,,,,100,g,,,Y,20260519095102
20260504,764,0260402,B-유통,26,울산,2601,울산,318,호두,00,수입,01,소매,05,중품,2800,,,,,100,g,,,N,20260519095102
20260504,763,0390403,E-유통,39,제주,3911,제주,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,762,0110409,I-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,1960,,,,,100,g,,,N,20260519095102
20260504,752,0340401,C-유통,34,충남,3411,천안,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,751,0310405,J-유통,31,경기,3138,고양,318,호두,00,수입,01,소매,05,중품,1640,,,,,100,g,,,N,20260519095102
20260504,750,0310404,B-유통,31,경기,3138,고양,318,호두,00,수입,01,소매,05,중품,2720,,,,,100,g,,,N,20260519095102
20260504,607,0220024,칠성,22,대구,2200,대구,318,호두,00,수입,01,소매,05,중품,1630,,,,,100,g,,,N,20260519095102
20260504,387,0270101,C-유통,27,세종,2701,세종,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,348,0360402,역전,36,전남,3613,순천,318,호두,00,수입,01,소매,05,중품,1860,,,,,100,g,,,N,20260519095102
20260504,306,0380402,C-유통,38,경남,3814,창원,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,291,0110213,복조리,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,2120,,,,,100,g,,,N,20260519095102
20260504,289,0370001,죽도,37,경북,3711,포항,318,호두,00,수입,01,소매,05,중품,2430,,,,,100,g,,,N,20260519095102
20260504,286,0110408,E-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,278,0390001,동문,39,제주,3911,제주,318,호두,00,수입,01,소매,05,중품,1630,,,,,100,g,,,N,20260519095102
20260504,277,0260001,신정,26,울산,2601,울산,318,호두,00,수입,01,소매,05,중품,1520,,,,,100,g,,,N,20260519095102
20260504,109,0380001,상남,38,경남,3814,창원,318,호두,00,수입,01,소매,05,중품,1840,,,,,100,g,,,N,20260519095102
20260504,108,0372401,C-유통,37,경북,3714,안동,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,107,0370401,E-유통,37,경북,3711,포항,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,105,0360401,A-유통,36,전남,3613,순천,318,호두,00,수입,01,소매,05,중품,1660,,,,,100,g,,,Y,20260519095102
20260504,102,0350401,C-유통,35,전북,3511,전주,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,101,0350001,남부,35,전북,3511,전주,318,호두,00,수입,01,소매,05,중품,1880,,,,,100,g,,,N,20260519095102
20260504,97,0330001,육거리,33,충북,3311,청주,318,호두,00,수입,01,소매,05,중품,2350,,,,,100,g,,,N,20260519095102
20260504,93,0320001,중앙,32,강원,3211,춘천,318,호두,00,수입,01,소매,05,중품,1950,,,,,100,g,,,N,20260519095102
20260504,90,0310402,B-유통,31,경기,3111,수원,318,호두,00,수입,01,소매,05,중품,2720,,,,,100,g,,,N,20260519095102
20260504,89,0310001,지동,31,경기,3111,수원,318,호두,00,수입,01,소매,05,중품,2000,,,,,100,g,,,N,20260519095102
20260504,83,0250402,E-유통,25,대전,2501,대전,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,79,0250112,역전,25,대전,2501,대전,318,호두,00,수입,01,소매,05,중품,2250,,,,,100,g,,,N,20260519095102
20260504,74,0240402,E-유통,24,광주,2401,광주,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,70,0240121,양동,24,광주,2401,광주,318,호두,00,수입,01,소매,05,중품,1860,,,,,100,g,,,N,20260519095102
20260504,68,0230401,E-유통,23,인천,2300,인천,318,호두,00,수입,01,소매,05,중품,1420,,,,,100,g,,,Y,20260519095102
20260504,67,0230036,현대,23,인천,2300,인천,318,호두,00,수입,01,소매,05,중품,3000,,,,,100,g,,,N,20260519095102
20260504,53,0210402,D-유통,21,부산,2100,부산,318,호두,00,수입,01,소매,05,중품,1290,,,,,100,g,,,Y,20260519095102
20260504,52,,,,,,,318,호두,00,수입,01,소매,05,중품,1660,,,,,100,g,,,Y,20260519095102
20260504,50,0210022,부전,21,부산,2100,부산,318,호두,00,수입,01,소매,05,중품,1400,,,,,100,g,,,N,20260519095102
20260504,45,0110406,B-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,3220,,,,,100,g,,,N,20260519095102
20260504,42,0110403,C-유통,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,2190,,,,,100,g,,,N,20260519095102
20260504,37,0110212,경동,11,서울,1101,서울,318,호두,00,수입,01,소매,05,중품,1660,,,,,100,g,,,N,20260519095102
20260504,467,0240123,서부도매,24,광주,2401,광주,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,2830,,,1,kg,1,kg,,,N,20260519095102
20260504,22,0250113,오정도매,25,대전,2501,대전,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,1470,,,1,kg,1,kg,,,N,20260519095102
20260504,11,0220021,북부도매,22,대구,2200,대구,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,1500,,,1,kg,1,kg,,,N,20260519095102
20260504,7,0210031,공동어,21,부산,2100,부산,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,1560,,,1,kg,1,kg,,,N,20260519095102
20260504,2,0110211,가락도매,11,서울,1101,서울,658,홍합,02,안깐홍합(냉장),02,도매,04,상품,2060,,,1,kg,1,kg,,,N,20260519095102
20260504,771,0110411,B`-유통,11,서울,1101,서울,222,참외,00,참외,01,소매,04,상품,17400,,,10,kg,10,개,10,개,Y,20260519095102
20260504,770,0310407,B-유통,31,경기,3112,성남,222,참외,00,참외,01,소매,04,상품,15600,,,10,kg,10,개,10,개,N,20260519095102
20260504,769,0310406,C-유통,31,경기,3145,용인,222,참외,00,참외,01,소매,04,상품,16300,,,10,kg,10,개,10,개,Y,20260519095102
20260504,768,0110410,L-유통,11,서울,1101,서울,222,참외,00,참외,01,소매,04,상품,15500,,,10,kg,10,개,10,개,Y,20260519095102
20260504,767,0220404,E-유통,22,대구,2200,대구,222,참외,00,참외,01,소매,04,상품,23900,,,10,kg,10,개,10,개,N,20260519095102
20260504,766,0210404,H-유통,21,부산,2100,부산,222,참외,00,참외,01,소매,04,상품,21800,,,10,kg,10,개,10,개,Y,20260519095102
20260504,765,,,,,,,222,참외,00,참외,01,소매,04,상품,29900,,,10,kg,10,개,10,개,N,20260519095102
20260504,764,0260402,B-유통,26,울산,2601,울산,222,참외,00,참외,01,소매,04,상품,23900,,,10,kg,10,개,10,개,Y,20260519095102
20260504,763,0390403,E-유통,39,제주,3911,제주,222,참외,00,참외,01,소매,04,상품,16600,,,10,kg,10,개,10,개,Y,20260519095102
20260504,762,0110409,I-유통,11,서울,1101,서울,222,참외,00,참외,01,소매,04,상품,23800,,,10,kg,10,개,10,개,Y,20260519095102
20260504,752,0340401,C-유통,34,충남,3411,천안,222,참외,00,참외,01,소매,04,상품,16300,,,10,kg,10,개,10,개,Y,20260519095102
20260504,751,0310405,J-유통,31,경기,3138,고양,222,참외,00,참외,01,소매,04,상품,19800,,,10,kg,10,개,10,개,N,20260519095102
20260504,750,0310404,B-유통,31,경기,3138,고양,222,참외,00,참외,01,소매,04,상품,15600,,,10,kg,10,개,10,개,Y,20260519095102
20260504,391,0321411,A-유통,32,강원,3214,강릉,222,참외,00,참외,01,소매,04,상품,29900,,,10,kg,10,개,10,개,N,20260519095102
20260504,387,0270101,C-유통,27,세종,2701,세종,222,참외,00,참외,01,소매,04,상품,14600,,,10,kg,10,개,10,개,Y,20260519095102
20260504,348,0360402,역전,36,전남,3613,순천,222,참외,00,참외,01,소매,04,상품,26600,,,10,kg,10,개,10,개,N,20260519095102
20260504,306,0380402,C-유통,38,경남,3814,창원,222,참외,00,참외,01,소매,04,상품,16300,,,10,kg,10,개,10,개,Y,20260519095102
