PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20260202,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,04,상품,157000,,,20,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,05,중품,137000,,,20,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,04,상품,161000,,,20,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,05,중품,138000,,,20,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,04,상품,10500,,,2,kg,100,g,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,05,중품,9250,,,2,kg,100,g,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,13,S과,20000,,,5,kg,10,개,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,415,감귤,01,노지,02,도매,14,M과,16200,,,5,kg,10,개,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,03,한지,02,도매,05,중품,70000,1,kg,10,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,04,상품,5930,,,1,kg,1,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,05,중품,4860,,,1,kg,1,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,24,L과,10000,,,2,kg,2,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,25,M과,8200,,,2,kg,2,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,04,상품,18300,1,kg,15,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,05,중품,15100,1,kg,15,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,04,상품,2200,,,1,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,05,중품,1880,,,1,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,04,상품,6250,,,1,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,05,중품,5000,,,1,kg,1,kg,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,04,상품,60000,,,10,kg,1,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,05,중품,47600,,,10,kg,1,kg,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,247,생강,01,수입,02,도매,05,중품,81300,,,10,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,04,상품,71600,,,7.5,kg,100,g,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,05,중품,51600,,,7.5,kg,100,g,1,kg,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,04,상품,30700,,,2,kg,100,g,100,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,05,중품,22700,,,2,kg,100,g,100,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,04,상품,92000,,,10,kg,100,g,100,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,05,중품,68700,,,10,kg,100,g,100,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,04,상품,45700,,,5,kg,200,g,200,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,05,중품,31700,,,5,kg,200,g,200,g,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,257,멜론,00,멜론,02,도매,04,상품,67200,,,8,kg,1,개,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,22,난지(대서),02,도매,05,중품,45000,,,10,kg,,,,,N,20260223080437
20260202,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,04,상품,21200,,,2,kg,100,g,,,N,20260223080437
