PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,RTSL_SMT_UNIT_MG,RTSL_SMT_UNIT_NM,EVFD_FMPD_SMT_UNIT_MG,EVFD_FMPD_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20251001,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,04,상품,146000,,,20,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),03,깐마늘(대서),02,도매,05,중품,126000,,,20,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,04,상품,161000,,,20,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,258,깐마늘(국산),05,깐마늘(남도),02,도매,05,중품,138000,,,20,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,04,상품,13000,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,01,애느타리버섯,02,도매,05,중품,10000,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,415,감귤,02,시설,02,도매,13,S과,23400,,,3,kg,10,개,10,개,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,415,감귤,02,시설,02,도매,14,M과,20000,,,3,kg,10,개,10,개,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,03,한지,02,도매,04,상품,110000,1,kg,10,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,421,오렌지,06,네이블 호주,02,도매,04,상품,65600,,,18,kg,10,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,421,오렌지,06,네이블 호주,02,도매,05,중품,63000,,,18,kg,10,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,04,상품,5860,,,1,kg,1,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,422,방울토마토,02,대추방울토마토,02,도매,05,중품,5130,,,1,kg,1,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,24,L과,10200,,,2,kg,2,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,12,샤인머스켓,02,도매,25,M과,8400,,,2,kg,2,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,04,상품,18100,1,kg,15,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,245,양파,00,양파,02,도매,05,중품,15300,1,kg,15,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,04,상품,1980,,,1,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,246,파,00,대파,02,도매,05,중품,1740,,,1,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,04,상품,7370,,,1,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,246,파,02,쪽파,02,도매,05,중품,4120,,,1,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,04,상품,76600,,,10,kg,1,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,247,생강,00,국산,02,도매,05,중품,65300,,,10,kg,1,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,247,생강,01,수입,02,도매,05,중품,79600,,,10,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,04,상품,125000,,,7.5,kg,100,g,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,252,미나리,00,미나리,02,도매,05,중품,93300,,,7.5,kg,100,g,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,04,상품,46800,,,2,kg,100,g,100,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,253,깻잎,00,깻잎,02,도매,05,중품,33600,,,2,kg,100,g,100,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,04,상품,48700,,,10,kg,100,g,100,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,255,피망,00,청,02,도매,05,중품,27700,,,10,kg,100,g,100,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,04,상품,34200,,,5,kg,200,g,200,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,256,파프리카,00,파프리카,02,도매,05,중품,22500,,,5,kg,200,g,200,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,257,멜론,00,멜론,02,도매,04,상품,28400,,,8,kg,1,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,257,멜론,00,멜론,02,도매,05,중품,25800,,,8,kg,1,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,22,난지(대서),02,도매,04,상품,47000,,,10,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,244,피마늘,22,난지(대서),02,도매,05,중품,35000,,,10,kg,,,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,04,상품,31000,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,315,느타리버섯,00,느타리버섯,02,도매,05,중품,16100,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,04,상품,13800,,,5,kg,150,g,150,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,316,팽이버섯,00,팽이버섯,02,도매,05,중품,10600,,,5,kg,150,g,150,g,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,04,상품,12100,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,317,새송이버섯,00,새송이버섯,02,도매,05,중품,7500,,,2,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,04,상품,74700,,,10,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,242,풋고추,04,오이맛고추,02,도매,05,중품,32500,,,10,kg,100,g,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,411,사과,07,홍로,02,도매,04,상품,82600,,,10,kg,10,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,411,사과,07,홍로,02,도매,05,중품,70000,,,10,kg,10,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,04,상품,63000,15,kg,15,kg,10,개,10,개,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,412,배,01,신고,02,도매,05,중품,49400,15,kg,15,kg,10,개,10,개,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,04,상품,32300,20,kg,10,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,01,캠벨얼리,02,도매,24,L과,29000,10,kg,5,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,01,캠벨얼리,02,도매,25,M과,25600,10,kg,5,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,151,고구마,00,밤,02,도매,05,중품,23600,20,kg,10,kg,1,kg,1,kg,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,02,거봉,02,도매,24,L과,17400,4,kg,2,kg,2,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,414,포도,02,거봉,02,도매,25,M과,13600,4,kg,2,kg,2,kg,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,04,상품,37600,,,8,kg,1,포기,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,279,알배기배추,00,알배기배추,02,도매,05,중품,27300,,,8,kg,1,포기,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,04,상품,118000,,,8,kg,1,개,,,N,20251016104852
20251001,2,0110211,가락도매,11,서울,1101,서울,280,브로콜리,00,브로콜리(국산),02,도매,05,중품,77600,,,8,kg,1,개,,,N,20251016104852
